id_base out_group_openness bundesland frau alter migrant schulabschl wohnort religiousness reli_group relig_comm hierarchie hh_income_i hh_size hat_kinder employment Care Fairness Authority Loyalty Purity Liberty authorit zeitungen internet fernsehen radiosender social_media f_online_rel_behavior f_online_intensity control soc_trust Greece Italie Poland Romania former_SU former_Yugo Spain_Portugal Syria Turkey Vietnam other NA NET_Europe deutsch s_east_europa other_mig
455 .4332864 9 0 5 0 2 2 2 7 1 8 32.5 2 0 5 5 5 4.5 3 5 3 6 6 6 6 6 6 3.2883978 3.5160298 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
456 -.48105133 9 1 3 0 1 1 2 1 3 5 17.5 4 1 8 6 6 5.5 5 4.5 6 5 3 6 6 6 6 4.546319 5.138618 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
457 .18986453 9 0 3 0 3 1 3 1 3 6 22.5 2 0 1 5 5.5 5 5 4.5 3.5 3 4 5 6 5 1 1.5640109 3.9982595 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
458 .69730884 3 0 5 0 4 1 2 7 1 8 45 2 0 5 1.5 5 3.5 3 5.5 3.5 2 6 6 6 6 4 1.7087641 4.8849864 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
459 .62805045 8 1 5 0 3 1 3 1 3 7 22.5 2 0 2 5.5 5 4 6 5 4.5 1 6 5 4 6 1 1.5588281 2.4349802 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
460 -1.013763 8 1 1 1 2 1 4 1 3 6 22.5 3 1 2 4.5 6 5.5 4.5 5.5 4.5 6 4 5 6 5 6 2.6800203 5.1360502 1 6 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0
461 1.8614721 5 1 4 0 4 3 4 3 4 5 17.5 2 1 5 6 6 2.5 6 5.5 3.5 1 4 6 6 6 3 1 5.8029699 4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
462 -.58189106 5 0 5 0 2 2 1 7 1 4 7.5 1 0 4 4.5 5.5 4.5 5.5 5 4.5 5 4 6 6 4 5 1.2302208 4.5554376 6 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
463 .93073183 9 0 5 0 3 2 1 2 2 4 17.5 1 0 1 5 5.5 3.5 4.5 5 4 3 2 6 6 5 1 1.5509555 2.9023707 4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
464 -.4434399 5 0 3 0 3 2 2 8 5 3 19.792551 1 0 1 4 4.5 4 5 5 4 3 2 6 5 1 5 3.1725965 5.2230105 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
465 -.41213953 5 1 3 0 3 2 1 8 5 4 7.5 1 0 5 5 4.5 4.5 4 3.5 5 2 4 6 6 6 5 2.8066719 3.198164 4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
466 -.76371855 6 1 4 0 3 1 1 2 2 6 22.5 2 0 2 6 4.5 5.5 5 5 5 5 6 6 6 6 2 1.2380934 4.0880475 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
467 1.5966831 9 0 6 0 2 4 2 7 1 5 17.5 1 0 5 6 6 3.5 6 1 3.5 5 6 6 6 6 6 1.9199945 4.9982572 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
468 -.34039849 16 1 4 0 5 2 5 2 2 6 17.5 1 0 1 6 5.5 4 4.5 4.5 3.5 3 4 5 6 6 6 2.4969923 4.3721581 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
469 .63181043 10 0 5 0 1 1 2 1 3 7 27.5 1 0 5 4 6 5 3.5 5 3.5 5 6 6 6 6 6 2.5351987 4.332046 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
470 -.11644215 3 1 2 0 3 2 1 7 1 5 27.908531 4 1 2 5.5 5 4.5 4 4.5 4 2 3 6 6 6 6 3.2631104 4.8174758 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
471 -.18220864 5 1 4 0 1 4 1 7 1 2 7.5 1 0 4 3.5 4 5 3 3.5 3 6 3 4 1 1 4 3.3728194 2.8029709 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
472 .97086316 11 0 6 0 4 3 3 7 1 6 45 2 0 5 5.5 5.5 2.5 5 4 4.5 1 2 5 6 6 1 1.4269936 2.8095872 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
473 -.64945126 5 0 4 0 1 1 1 7 1 1 17.5 2 0 8 5 6 5 3.5 5 6 6 2 6 5 4 6 2.8388748 5.6974664 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
474 -.92853504 14 1 5 1 3 2 1 7 1 7 17.5 2 0 5 6 6 4.5 3 5 4.5 3 3 4 6 6 2 2.2313862 3.1320705 2 2 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0
475 1.082361 5 0 5 0 1 4 4 1 3 6 12.5 1 0 5 4.5 6 5.5 4 5 4.5 5 6 6 6 6 4 1 5.8029699 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
476 -2.7418618 5 1 3 0 1 3 3 1 3 6 25.205772 4 1 8 5.5 4 3 4 4 4.5 2 6 6 6 6 6 1.9849328 3.6270137 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
477 1.082361 5 0 5 1 3 1 5 1 3 7 32.5 2 0 1 5.5 5 2.5 4.5 4.5 3.5 1 6 6 6 6 5 2.0726886 5.3348713 2 4 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
478 -.31873554 5 1 1 1 4 2 1 7 1 9 12.5 4 1 2 4 4.5 4 4 4 4.5 1 4 6 3 5 5 2.040554 2.7528462 3 4 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1
479 -.98785192 11 1 4 0 2 4 1 7 1 5 7.5 1 0 4 5 5 4.5 5 5.5 4.5 6 1 6 6 1 6 3.7699871 3.9993405 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
480 -.072112866 5 1 2 0 4 3 5 1 3 8 27.5 3 1 1 3.5 4 4 4.5 3.5 4 3 5 5 5 4 5 4.1169009 4.4553294 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
481 -.67374927 5 0 4 0 4 4 2 2 2 7 37.20776 2 0 1 5 5.5 4 5.5 4.5 4 1 5 3 6 6 1 1.4112486 3.7443681 3 6 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
482 -.07207232 5 1 4 0 3 3 3 1 3 5 27.5 3 1 2 5.5 4 4 4.5 4.5 3 3 5 5 6 4 4 2.2919226 4.4836893 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
483 1.8506197 1 1 4 1 2 1 2 7 1 3 27.5 3 0 2 5 5 3 2 3.5 3.5 1 4 6 6 6 6 2.8307824 3.81498 4 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
484 -2.1172493 5 0 5 0 1 2 1 2 2 7 27.5 2 0 5 5 6 4 4 4.5 5 1 6 2 6 6 1 2.1200128 2.8263843 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
485 -.18724346 2 0 3 0 4 3 2 2 2 5 22.5 3 1 1 3.5 3.5 3.5 3 3.5 3.5 6 6 6 6 6 6 3.244031 3.3313398 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
486 .29385653 9 0 5 0 1 2 5 1 3 3 45 2 0 5 5 4.5 5 5 4 3 5 6 6 6 6 1 1.1810277 4.9919004 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
487 .81416243 12 1 2 0 2 3 1 7 1 2 45 1 0 1 6 6 5.5 5.5 6 4.5 5 2 6 6 1 6 2.0617018 5.7312217 4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
488 -.46846753 11 0 5 0 2 4 4 4 5 5 12.5 1 0 5 4.5 4.5 4 4.5 3.5 4.5 3 6 6 6 6 6 3.1074383 4.2443771 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
489 1.082361 3 0 5 0 3 2 1 7 1 7 37.5 2 0 1 5 6 3.5 5 4 5 5 5 6 6 6 6 3.1234033 5.6594729 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
490 -.031163581 16 1 5 0 2 4 5 7 1 4 12.5 1 0 5 4.5 5.5 4.5 4 5 4 2 3 4 6 3 6 4.4947014 1.8984091 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
491 -1.1993307 11 1 1 0 3 4 1 7 1 7 45 2 0 1 4.5 5 3.5 3.5 4 4 5 2 5 5 6 6 2.2014086 4.8892241 2 6 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
492 -.92414826 4 1 6 0 3 4 3 2 2 7 12.5 1 0 5 6 5.5 3 5 5.5 4 1 6 6 6 6 6 1.8755596 4.8962893 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
493 1.0287504 5 0 5 0 3 4 1 1 3 7 70 2 0 1 6 6 4 4 4.5 5.5 2 6 4 6 4 1 1.0983864 4.9300447 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
494 .72813398 12 1 3 0 4 1 4 1 3 6 32.5 4 1 1 4.5 4 4 4.5 4.5 4 3 5 3 4 4 4 2.964617 5.0153351 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
495 -.18146251 5 0 3 0 3 4 1 1 3 6 37.5 2 0 1 6 5 6 4.5 6 5 5 6 6 6 1 1 3.2000206 5.3310819 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
496 1.1454971 5 1 5 0 2 3 1 7 1 6 17.5 1 0 5 4.5 5.5 3 5 3.5 4 2 2 2 6 6 1 1.6001487 2.4659081 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
497 .05060868 11 0 5 0 3 4 1 7 1 6 37.5 2 0 1 3.5 4.5 3 3.5 4 5 1 5 6 6 6 2 2.198499 4.5700173 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
498 .060165904 6 0 2 1 3 2 5 8 5 5 32.5 3 1 1 4 4 4 4 4 3.5 3 5 6 6 6 6 3.1566997 3.7251923 4 4 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0
499 1.1294497 5 1 5 0 3 3 5 1 3 6 37.5 4 0 2 6 6 3 5.5 6 4.5 1 6 6 6 2 6 2.6366313 3.6128831 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
500 .55408227 8 0 2 1 4 1 6 6 5 8 12.5 1 0 1 5 4 4.5 5 4.5 3 2 6 6 5 5 5 3.1457129 4.1215429 3 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
501 -.56396765 5 0 4 0 4 2 1 7 1 7 45 2 0 1 5 5 4.5 2 3 2 5 2 6 6 4 1 1.1810277 4.9919004 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
502 -.72898942 2 1 5 0 3 4 1 8 5 6 25.841534 2 0 8 5 5.5 4 4 3.5 5 2 4 5 6 6 2 1.473497 4.4037943 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
503 .060165904 5 0 1 0 2 3 2 2 2 4 7.5 2 0 2 4 6 4.5 2.5 3.5 6 6 4 6 5 4 6 3.5447292 4.4602757 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
504 -.80523992 3 1 4 0 2 1 5 2 2 6 17.5 1 0 5 5.5 5 4.5 3.5 5.5 4 5 6 6 6 6 2 2.1000445 5.5256648 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
505 .21477005 6 0 6 0 4 4 1 7 1 8 17.5 1 0 5 6 5.5 5.5 2 5 3 3 2 6 6 5 4 2.1108949 5.2947588 3 6 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
506 -.96202916 5 0 3 0 2 2 3 8 5 5 22.5 3 1 8 3 3 3 3 3 3.5 3 6 6 6 6 6 3.9769056 3.0301723 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
507 .03500602 5 1 3 0 3 3 2 1 3 8 37.5 4 1 1 4.5 5 5 4.5 5 4.5 3 6 5 6 6 6 3.5396147 2.8142738 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
508 .82850349 5 1 4 0 2 2 4 2 2 6 27.5 2 0 8 4.5 5 3 3 4 4 2 3 6 2 3 6 3.107302 4.409822 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
509 .46924165 11 1 4 0 3 4 2 7 1 5 12.5 1 0 4 5.5 5 3.5 3.5 4.5 4 2 3 5 6 6 6 2.5353351 4.1666012 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
510 -1.6024362 16 0 3 0 2 2 1 7 1 4 12.5 1 0 1 5.5 6 3.5 4.5 5.5 4.5 3 2 6 6 6 6 3.4082048 5.2905908 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
511 1.9722773 2 0 3 0 4 4 1 7 1 8 70 2 0 1 3.5 6 6 3 6 6 2 6 6 6 6 1 1.0983864 4.9300447 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
512 -.33298942 5 0 3 1 2 2 3 1 3 5 17.5 2 0 5 3.5 4 4 3.5 3.5 3.5 5 2 6 6 2 1 1.473497 4.4037943 4 4 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1
513 -.080269516 7 1 5 0 4 2 3 7 1 5 32.5 2 0 5 5 4 3.5 4 3.5 4 1 5 6 6 2 6 3.829258 4.4222827 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
514 -.24035384 5 0 3 0 2 2 1 2 2 4 27.5 2 0 1 4.5 5 4 4 5 3 3 6 6 6 6 6 3.4463429 5.3332009 4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
515 .47315016 11 1 5 0 2 4 1 7 1 5 24.5249 2 0 12 2.5 4.5 3.5 2.5 4 4 3 2 5 6 4 1 1.4604417 3.3079054 2 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
516 1.4621444 10 1 1 1 4 2 3 6 5 6 27.5 2 0 1 4 5.5 5.5 3.5 3 4.5 3 6 4 6 6 3 2.1632023 4.9293361 2 5 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
517 1.1867548 9 1 4 0 3 2 4 1 3 6 27.5 4 0 2 4 5 5.5 5.5 4.5 3.5 3 6 6 6 5 3 2.5953104 3.5819552 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
518 .068247393 2 0 2 0 3 4 2 2 2 3 7.5 2 0 2 5.5 6 2.5 5 4 5.5 3 2 6 6 6 5 2.7734284 2.4516788 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
519 -.058683876 3 0 5 0 2 2 1 7 1 3 12.5 2 0 5 5 6 3 4.5 5 4.5 5 2 6 6 6 4 3.5830038 4.3374414 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
520 .7470274 6 1 1 0 3 1 1 1 3 7 45 2 0 1 5 4.5 5 5 3 4.5 2 1 6 1 5 6 2.888068 5.2610035 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
521 .50940156 5 0 5 0 4 4 1 7 1 7 32.5 1 0 5 2 5 3.5 3 2.5 4 2 6 1 6 1 1 1.5509555 2.9023707 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
522 .48172373 1 1 5 0 1 1 1 7 1 6 22.5 2 0 1 5.5 6 5.5 3 5 3.5 3 6 6 6 6 6 1.7389668 5.8093266 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
523 -.95461869 6 0 4 0 2 1 3 2 2 5 27.5 4 0 1 3 4 4.5 3.5 3.5 3.5 6 5 6 6 6 1 1.4242356 4.9229794 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
524 -1.2707354 7 1 5 1 3 2 3 1 3 7 45 2 0 5 4.5 5 3.5 4 3.5 3.5 2 6 6 6 6 6 2.3190107 5.3369899 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
525 .84528553 9 1 5 0 2 2 1 7 1 5 17.5 3 0 5 6 6 5.5 3.5 5 4 2 6 6 6 6 1 1.0491931 5.3665075 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
526 1.3795842 5 1 5 0 3 2 4 2 2 6 17.5 1 0 5 5.5 6 4 5 3.5 5 2 6 4 5 6 4 1.8625724 3.7176781 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
527 -.44115949 6 1 1 1 3 4 5 3 4 5 22.5 5 0 7 3 3 3 3 3 3.5 3 2 2 2 2 2 3.205893 3.2887297 3 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0
528 -.60737711 16 1 3 0 2 2 1 7 1 4 22.5 2 0 2 6 6 4.5 5 4.5 4.5 2 4 6 6 6 6 1.9934974 4.5988264 5 6 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
529 -1.9842243 12 1 3 0 2 1 1 7 1 6 27.5 3 1 1 3.5 4 4 3.5 4 4 3 1 3 3 5 1 1.3699279 3.7134402 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
530 .094625063 5 1 1 0 2 4 4 1 3 9 22.5 3 1 1 5 3.5 3.5 4 4 4 5 5 5 4 4 6 3.5948319 2.7680578 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
531 -.55366284 5 1 4 0 3 4 4 1 3 5 27.5 3 0 8 5.5 6 5 2.5 4.5 5 3 6 5 6 5 5 3.2219944 4.5383811 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
532 .98547304 5 0 6 1 4 4 2 2 2 7 37.5 2 0 5 2.5 5.5 2.5 5.5 1.5 5 2 6 6 5 5 6 4.557374 4.6595454 4 4 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
533 .84389496 5 1 4 0 4 1 3 1 3 5 22.5 2 0 2 5.5 5.5 3 2.5 4 4 1 5 6 6 4 3 2.1028025 3.4122727 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
534 -.29406115 5 0 4 0 2 4 1 7 1 4 12.5 1 0 2 4 4.5 3.5 4 3.5 4 2 1 5 1 1 6 2.3080239 5.7333403 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
535 1.082361 5 1 4 0 3 2 1 7 1 7 27.5 1 0 1 4.5 5.5 3 1.5 3.5 3.5 3 4 5 6 6 6 2.2506018 4.4527617 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
536 -.35573307 5 1 2 0 4 4 1 7 1 5 27.5 1 0 1 4 5.5 4.5 4.5 4 5 3 2 5 4 6 6 1.5718153 3.6135914 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
537 .29646334 6 1 3 1 4 4 1 7 1 3 4 1 1 5 5.5 6 3.5 5 5.5 3.5 2 3 6 6 3 5 2.7292817 4.6168652 4 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
538 .30757529 3 1 4 1 3 2 6 7 1 7 33.57143 2 0 1 5.5 6 4 3.5 5 4.5 1 4 6 6 6 6 2.4730866 3.507175 2 5 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
539 1.7077198 8 1 1 1 3 2 4 3 4 5 32.5 5 0 3 5 6 5.5 3.5 4.5 4.5 3 3 6 4 3 6 3.7831788 4.9297848 3 4 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0
540 -.031036416 5 1 4 0 2 2 2 1 3 3 12.5 2 0 5 6 5.5 4 4 5 4.5 2 2 6 6 5 6 3.58605 4.4912033 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
541 2.1045561 5 1 4 0 1 1 5 1 3 8 12.5 2 0 5 5 5 5 5 5 3.5 3 2 6 2 1 6 5.0772381 5.0200214 6 6 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
542 .25772896 1 0 4 1 3 2 1 7 1 7 37.5 2 0 1 5 6 4 5.5 3.5 4.5 2 5 6 6 5 6 2.2014771 4.8065019 3 4 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
543 .37390691 5 0 2 0 3 2 2 7 1 5 29.719189 3 1 1 4.5 5.5 3.5 4 3 5.5 2 2 6 2 2 6 3.1725965 5.2230105 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
544 -1.178706 16 0 6 0 4 2 1 8 5 6 27.5 2 0 5 3 6 6 5.5 5.5 3.5 3 2 6 6 6 4 1.4321764 4.3728666 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
545 .75025529 8 1 6 0 2 2 5 2 2 7 37.5 3 0 5 5.5 5.5 4 5.5 5 3.5 5 6 4 6 3 4 2.0947936 4.0451078 2 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
546 .32963112 5 0 4 0 4 4 4 2 2 5 45 3 0 1 5.5 6 3 4.5 5.5 3.5 3 6 6 6 6 1 1.0983864 4.9300447 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
547 -.71220356 9 1 3 0 4 4 1 7 1 8 70 5 1 2 5.5 5.5 5.5 5.5 3.5 3.5 2 6 6 5 5 6 3.3697257 5.661592 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
548 .8338508 9 0 6 0 4 2 4 2 2 7 27.5 2 0 5 4 5 3.5 4.5 3.5 3 2 6 5 6 6 5 2.3108501 3.537226 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
549 -.96202916 6 1 1 1 3 3 3 2 2 5 70 2 0 1 3 3 3 3 3 3.5 3 2 6 6 6 6 2.7322595 4.8533497 3 3 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1
550 -.92003739 3 0 5 0 2 2 1 7 1 3 12.5 1 0 5 5.5 6 5 5.5 4 3.5 1 3 5 6 6 1 1.139707 4.9609728 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
551 -2.2237897 3 1 3 0 2 1 1 2 2 3 12.5 1 0 1 3.5 5 4 3 4.5 4.5 3 1 5 6 2 1 1.139707 4.9609728 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
552 -1.6877472 13 0 5 0 4 2 1 7 1 6 12.5 1 0 5 5.5 6 5 3 5.5 4 3 2 6 6 6 6 3.2109394 5.0174537 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
553 1.3569131 5 1 4 0 5 1 3 7 1 4 12.5 2 0 4 5.5 5.5 5.5 5.5 5 4 3 6 6 6 6 6 3.8323722 4.4933224 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
554 -.6726079 5 1 5 0 2 2 2 1 3 3 7.5 1 0 5 5 4 3 4 4 4.5 3 1 5 6 1 1 1.0491931 5.3665075 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
555 -.09385097 5 0 4 0 2 4 4 1 3 5 22.5 2 0 1 5.5 5.5 4 4.5 5 4 5 6 6 6 6 6 3.1234715 5.5767508 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
556 .32910237 7 0 5 0 1 1 4 2 2 8 26.893574 2 0 5 5.5 5 4.5 3.5 4.5 2 6 6 6 6 5 1 1.3699279 3.7134402 2 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
557 1.110293 11 1 1 0 3 4 4 2 2 6 36.455914 5 0 3 5.5 5.5 4.5 5 5 4 5 5 6 5 6 6 3.4463429 5.3332009 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
558 -1.1695035 5 1 3 0 2 2 3 1 3 2 12.5 2 0 4 5.5 6 4 2 4 5.5 3 1 4 2 1 1 3.6383574 4.1257806 6 6 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
559 .10580318 14 1 6 0 3 2 1 7 1 6 27.5 2 1 5 5 5.5 3 5 4.5 3.5 3 3 4 6 6 1 1.5017624 3.3388333 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
560 1.1277959 3 1 3 0 2 2 1 7 1 5 12.5 1 0 1 6 5 6 5.5 6 5 2 2 6 6 6 6 3.7418585 4.8988571 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
561 1.4502101 3 0 5 1 1 1 2 7 1 2 12.5 2 0 5 5.5 6 4 4 5.5 4.5 3 2 6 6 6 6 2.5142708 3.7035475 5 6 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0
562 1.1163485 9 0 5 0 4 2 3 2 2 9 45 2 0 5 5 6 2.5 5 3.5 4 1 2 6 6 6 3 1.6705579 4.9250984 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
563 -1.1657754 6 0 1 0 3 4 5 8 5 7 7.5 3 1 2 3.5 3.5 3 4.5 5 3.5 5 2 5 3 2 3 4.0133314 3.7649751 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
564 1.0949868 3 1 4 0 2 2 4 2 2 5 22.5 2 0 2 6 5.5 4.5 3.5 4.5 4.5 2 4 4 5 4 6 1.3447087 4.9321637 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
565 .59420663 9 0 4 1 2 4 1 7 1 4 37.5 3 0 1 5.5 5 4.5 4.5 6 3 5 2 5 6 6 5 4.3523045 4.7710762 4 4 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0
566 .5746038 8 1 3 0 2 1 3 2 2 3 22.5 4 1 2 4 5 4 5 2.5 4.5 5 4 6 5 6 2 1.139707 4.9609728 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
567 .3670786 15 1 3 0 2 2 3 7 1 7 27.5 2 0 1 4 5 4 4 4.5 3.5 3 6 6 6 6 6 4.0677075 4.8917918 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
568 .12118699 14 0 4 0 1 2 3 7 1 3 7.5 1 0 4 4 4 4 4 4.5 4 1 2 6 6 6 2 1.5639427 4.0809817 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
569 -.39249465 16 1 4 0 2 2 3 2 2 7 32.672943 2 0 1 5.5 5.5 4 4.5 3.5 3.5 2 5 6 5 5 6 2.7053077 3.8346045 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
570 1.082361 5 0 5 0 1 4 4 1 3 7 37.5 2 0 5 5.5 5.5 4 4.5 6 4.5 2 6 6 6 6 4 2.4969923 4.3721581 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
571 -1.2691714 3 1 2 0 2 1 5 2 2 5 11.790908 1 0 2 6 5.5 4.5 5 4.5 4.5 1 4 6 6 6 6 2.8338284 3.9687421 5 6 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
572 -.066802323 2 1 3 0 4 4 1 7 1 6 17.5 1 0 1 4 5 2 3 3.5 4 1 3 5 5 6 6 2.2123957 4.4928737 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
573 -.96202916 13 0 2 1 2 2 1 8 5 6 22.5 1 0 1 4.5 4 4 4 4 3.5 3 6 6 6 6 6 3.0500164 2.9637983 3 3 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0
574 -1.0857193 15 1 4 0 2 1 4 1 3 6 22.5 4 1 12 5 5 5 4.5 5.5 2.5 3 3 6 6 5 5 2.630827 5.5725126 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
