id_base out_group_openness bundesland frau alter migrant schulabschl wohnort religiousness reli_group relig_comm hierarchie hh_income_i hh_size hat_kinder employment Care Fairness Authority Loyalty Purity Liberty authorit zeitungen internet fernsehen radiosender social_media f_online_rel_behavior f_online_intensity control soc_trust Greece Italie Poland Romania former_SU former_Yugo Spain_Portugal Syria Turkey Vietnam other NA NET_Europe deutsch s_east_europa other_mig
27 -.52042508 5 0 5 0 2 4 3 2 2 6 17.5 2 0 5 5 5.5 5 4.5 5 2 6 6 6 6 5 1 2.5493629 3.5923953 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
28 .4738428 12 1 3 0 4 1 1 7 1 5 12.5 1 0 1 5.5 3.5 5 5 5.5 4.5 2 6 5 6 2 5 2.3411157 4.0472264 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
29 -.95501035 5 1 1 0 2 4 1 7 1 5 22.5 3 1 2 5.5 5.5 3.5 3 6 4.5 2 4 6 6 5 6 2.5382447 4.4858084 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
30 -.39463136 3 1 3 0 2 4 1 2 2 4 7.5 1 0 2 5.5 6 4 4.5 5 4.5 2 4 5 6 1 5 3.8815653 4.05686 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
31 -.44178846 5 1 4 0 1 2 1 7 1 2 7.5 1 0 5 6 6 5.5 3.5 5 5 3 5 6 6 2 6 4.3140979 4.8111887 2 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
32 .37523526 1 1 3 0 2 2 1 7 1 7 27.5 2 0 5 5 5 5 4 5.5 5 5 4 6 6 5 2 1.2380934 4.0880475 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
33 1.1121806 6 1 1 1 2 3 5 3 4 6 17.5 1 0 1 5.5 6 6 4.5 5.5 4.5 5 1 6 6 1 6 3.4463429 5.3332009 4 4 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1
34 .095466696 15 1 5 0 2 2 2 7 1 5 22.5 1 0 1 5 6 4.5 5 3.5 4 2 6 6 6 6 4 1.2955154 5.3686266 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
35 -.55545634 8 1 6 0 2 3 5 2 2 7 22.5 2 0 2 5.5 6 5 3.5 5 3 1 6 6 6 6 1 1 5.8029699 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
36 1.5859668 9 0 4 0 1 4 6 1 3 8 37.5 3 0 1 6 6 5 4 6 4.5 3 3 6 5 6 3 1.2463223 5.805089 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
37 -.087678574 1 1 3 0 2 3 2 2 2 6 17.5 1 0 1 5 5.5 5.5 3.5 4 5 6 3 4 6 2 6 3.4933994 3.487221 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
38 -1.5685441 5 1 5 0 2 2 1 1 3 6 17.5 2 0 1 6 6 3.5 6 5 4 3 4 6 6 5 5 1.5910308 4.9342828 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
39 .35121676 1 0 2 0 2 2 2 2 2 6 12.5 1 0 1 4.5 5 3.5 5 4.5 3.5 3 5 5 6 4 5 2.9786501 4.7727466 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
40 -.42282283 8 0 5 0 1 2 4 2 2 6 22.5 1 0 1 5 5 5.5 5.5 5 3 6 5 6 5 5 2 2.4064786 4.7776928 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
41 -1.032223 11 0 5 0 2 4 4 7 1 6 27.5 2 0 1 5.5 6 5.5 5 5 3.5 6 6 6 6 6 6 1.2380934 4.0880475 2 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
